WARD_NO,WARD_NAME,EMPLOYEES_ESTIMATE
2,Chowdeswari Ward,14202
3,Atturu,14167
4,Yelahanka Satellite Town,20245
51,Vijnanapura,11165
53,Basavanapura,23716
54,Hudi,24745
55,Devasandra,25402
56,A Narayanapura,15724
81,Vijnana Nagar,18909
87,HAL Airport,18720
10,Dodda Bommasandra,12982
11,Kuvempu Nagar,36230
5,Jakkuru,22920
6,Thanisandra,24885
7,Byatarayanapura,20198
8,Kodigehalli,12128
9,Vidyaranyapura,18166
130,Ullalu,10830
159,Kengeri,12151
40,Dodda Bidarakallu,11218
72,Herohalli,12521
16,Jalahalli,25199
160,Rajarajeshwari Nagar,12817
17,J P Park,21251
37,Yeshwanthpura,39730
38,HMT Ward,16624
42,Lakshmi Devi Nagar,19202
69,Laggere,22973
73,Kottegepalya,13766
12,Shettihalli,8868
13,Mallasandra,11835
14,Bagalakunte,18742
15,T Dasarahalli,19293
39,Chokkasandra,8578
41,Peenya Industrial Area,11661
70,Rajagopal Nagar,11509
71,Hegganahalli,10992
102,Vrisabhavathi Nagar,17704
43,Nandini Layout,25473
44,Marappana Palya,34074
67,Nagapura,34557
68,Mahalakshimpuram,24005
74,Shakthi Ganapathi Nagar,25504
75,Shankar Matt,16222
35,Aramane Nagara,12486
36,Mattikere,10579
45,Malleswaram,15911
64,Rajamahal Guttahalli,14438
65,Kadu Malleshwar Ward,14021
66,Subramanya Nagar,17363
76,Gayithri Nagar,21787
18,Radhakrishna Temple Ward,13387
19,Sanjaya Nagar,20266
20,Ganga Nagar,18320
21,Hebbala,12677
22,Vishwanath Nagenahalli,15857
33,Manorayanapalya,28378
34,Gangenahalli,2814
46,Jayachamarajendra Nagar,12898
31,Kushal Nagar,13034
32,Kaval Bairasandra,11689
47,Devara Jeevanahalli,11080
48,Muneshwara Nagar,6472
60,Sagayarapuram,10950
61,S K Garden,13151
78,Pulikeshinagar,11204
23,Nagavara,12743
24,HBR Layout,27276
27,Banasavadi,27949
28,Kammanahalli,32381
29,Kacharkanahalli,30369
30,Kadugondanahalli,30523
49,Lingarajapura,23397
59,Maruthi Seva Nagar,17109
113,Konena Agrahara,16996
50,Benniganahalli,10483
57,C V Raman Nagar,15157
58,New Tippasandara,10906
79,Sarvagna Nagar,12195
80,Hoysala Nagar,17115
88,Jeevanbhima Nagar,23176
110,Sampangiram Nagar,24435
62,Ramaswamy Palya,17741
63,Jayamahal,27278
90,Halsoor,35808
91,Bharathi Nagar,16154
92,Shivaji Nagar,12343
93,Vasanth Nagar,8073
111,Shantala Nagar,13523
112,Domlur,16970
114,Agaram,14339
115,Vannarpet,12087
116,Nilasandra,10366
117,Shanthi Nagar,11108
89,Jogupalya,16403
109,Chickpete,10166
120,Cottonpete,14164
121,Binnipete,11809
77,Dattatreya Temple,14414
94,Gandhinagar,12298
95,Subhash Nagar,11038
96,Okalipuram,32121
100,Basaveshwara Nagar,21769
101,Kamakshipalya,9005
107,Shivanagara,8581
108,Sriramamandir,7048
97,Dayananda Nagar,12476
98,Prakash Nagar,13582
99,Rajaji Nagar,13131
103,Kaveripura,7271
104,Govindaraja Nagar,8536
105,Agrahara Dasarahalli,7673
106,Dr. Raj Kumar Ward,12626
125,Marenahalli,14868
126,Maruthi Mandir ward,16367
127,Mudalapalya,16398
128,Nagarabhavi,19233
131,Nayandahalli,11383
122,Kempapura Agrahara,9062
123,Vijayanagar,10586
124,Hosahalli,13085
132,Attiguppe,14948
133,Hampi Nagar,18363
134,Bapuji Nagar,16902
157,Gali Anjenaya Temple ward,5630
158,Deepanjali Nagar,9445
135,Padarayanapura,15557
136,Jagajivanaramnagar,13197
137,Rayapuram,21348
138,Chalavadipalya,21645
139,K R Market,23258
140,Chamrajapet,14355
141,Azad Nagar,13434
118,Sudham Nagara,14608
119,Dharmaraya Swamy Temple,11340
142,Sunkenahalli,9714
143,Vishveshwara Puram,11597
144,Siddapura,9196
145,Hombegowda Nagara,7309
153,Jayanagar,9873
155,Hanumanth Nagar,12953
156,Srinagar,12760
154,Basavanagudi,9629
162,Girinagar,10919
163,Katriguppe,11096
164,Vidyapeeta ward,6950
161,Hosakerehalli,11464
165,Ganesh Mandir ward,18626
166,Karisandra,19866
167,Yediyur,50373
180,Banashankari Temple ward,14680
181,Kumaraswamy Layout,10368
182,Padmanabha Nagar,16288
146,Lakkasandra,13534
147,Adugodi,13958
148,Ejipura,16119
151,Koramangala,16110
152,Suddagunte Palya,14793
178,Sarakki,13637
173,Jakkasandra,28359
176,BTM Layout,21078
168,Pattabhiram Nagar,19275
169,Byrasandra,14747
179,Shakambari Nagar,16141
149,Varthuru,11222
150,Bellanduru,9371
82,Garudachar Playa,14432
83,Kadugodi,9476
84,Hagadur,14193
85,Dodda Nekkundi,15864
174,HSR Layout,20090
175,Bommanahalli,23319
186,Jaraganahalli,11436
187,Puttenahalli,35940
188,Bilekhalli,20502
189,Hongasandra,22601
190,Mangammanapalya,8237
191,Singasandra,10758
193,Arakere,8025
184,Uttarahalli,16478
185,Yelchenahalli,13154
192,Begur,14682
194,Gottigere,14497
195,Konankunte,29942
196,Anjanapura,16887
1,Kempegowda Ward,14301
52,K R Puram,772
129,Jnana Bharathi ward,22467
170,Jayanagar East,38240
171,Gurappanapalya,27419
183,Chikkalsandra,30774
197,Vasanthpura,32578
177,J P Nagar,35623
172,Madivala,20501
26,Ramamurthy Nagar,26209
25,Horamavu,16123
86,Marathahalli,31256
198,Hemmigepura,19276
